"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EG.ELC.ACCS.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"649719",2001,7026.248,56389365,81.3,75.5,903000,49.3370018005371,67.1949996948242,7.77299976348877,100,236.027300085985,0.168225361337335,3388441,7293731,75.17,24.83,357030,1.08343229583805,20447486,61902439,8.85699774468526,8.9949495402964,31.8447071170151,1.69773236086638,27.0691909009731,22.5394838107075,56948542386.9082,40333146,15.4943990700996,78.3292682926829,1.35,1944107382550.34,82349925,23607.8828553922,1.52679480360456,1930451901566,13029877034.9566,7045736,49709326
"665564",2002,7195.804,61889678,81.2,75.4,980001,49.6059989929199,66.6650009155273,8.48200035095215,100,236.451570830706,0.168128319406931,3391094,7318274,75.374,24.626,357040,0.900496788164431,20313617,62174878,8.87187237444446,8.9899673564852,32.5925791130602,-0.198459062728844,26.3787236365622,22.6332680909175,51268214890.625,40451098,15.2316789321785,78.2292682926829,1.34,2068624129493.69,82488495,25077.7290759602,-0.3661127401014,2046678900809.34,13250763788.6377,6940982,43391325
"681409",2003,7295.67,72693124,81.3,75.6,960393,49.9630012512207,66.375,9.7790002822876,100,236.616427281328,0.0553633035873241,3390456,7330437,75.577,24.423,357040,0.832259435604571,20157322,62376854,8.88169889767846,8.16274427803221,32.8117129460067,-0.713533477235572,26.1867813363357,21.7933068260742,65401516009.2498,40654568,14.9289169384121,78.3804878048781,1.34,2496128668171.56,82534176,30243.5765296979,-0.768486531800832,2470774266365.69,13789130136.1121,6839431,39426039
"697254",2004,8065.6,82099657,81.6,75.9,876614,49.7879981994629,65.8939971923828,10.7270002365112,100,236.592195429653,-0.021709727650009,3388152,7338962,75.779,24.221,357050,0.951063416014002,19986263,62529997,8.89395859676626,10.7196663026821,35.713363859767,1.18991490034335,26.4048494598943,24.3185148951655,-20408419557.1429,40557809,14.6486325912862,78.6804878048781,1.36,2809187981127.39,82516260,34044.0536341248,1.2118853400525,2826157188974.42,14460530156.3939,6946946,51097000
"713099",2005,7722.133,90788848,81.8,76.2,699996,50.681999206543,66.7180023193359,11.1669998168945,100,236.464680582636,-0.0567782618352031,3391496,7361593,75.98,24.02,357090,0.726955700932129,19809155,62660267,8.92645155194613,10.4093655148422,38.0595723481521,0.721853764966724,26.3532912935747,24.130445346712,59835195025.1919,41256896,14.4166321570007,78.9317073170732,1.34,2845802760850.64,82469422,34507.3688142332,0.779058121105464,2869298594702.15,15015539172.0052,6839000,45980200
"728944",2006,8133.987,99647314,82,76.4,605359,51.4700012207031,66.6699981689453,10.25,100,236.225197866483,-0.112797497644931,3401226,7412641,76.179,23.821,357100,0.737585322085632,19622894,62753557,8.9984952131526,12.7734164621129,41.4329079108458,3.81458790454661,26.9743991815788,26.3372994576777,87444159239.0618,41603988,14.171862690974,79.1317073170732,1.33,2992196713084.93,82376451,36323.4477421822,3.93175422981199,3042803914188.93,16312776695.0324,6702200,43474800
"744789",2007,8528.959,106101747,82.3,76.9,578866,51.9959983825684,66.8059997558594,8.65799999237061,100,235.943361918146,-0.133718572600486,3413367,7465881,76.378,23.622,357100,0.77886019483507,19432962,62833410,9.07525252237937,14.804461100366,43.3227580964574,2.98407727316592,27.2365025704627,28.2657401425909,50847183837.0154,41882348,13.9833851371278,79.5341463414634,1.37,3421229126745.14,82266372,41587.2128984264,3.12187822350019,3470907473309.61,16504101119.5516,6571690,40632149
"760634",2008,8352.882,107941584,82.4,77.2,582719,52.1129989624023,66.7109985351563,7.52400016784668,100,235.522178240542,-0.190142844695674,3425567,7509892,76.575,23.425,357110,0.83833040773771,19234290,62875807,9.14612486695759,13.3880563416179,43.7991902579629,0.96226644174557,26.8486819111797,27.1433064726583,30954735498.0251,41886218,13.8393744870213,79.7365853658537,1.38,3730027830672.33,82110097,45427.151677489,1.15442159396983,3765438699282.26,17286607187.816,7038419,50104858
"776479",2009,10187.719,103396735,82.5,77.3,593787,52.5149993896484,66.5719985961914,7.74200010299683,100,234.939637417171,-0.253383410163402,3437892,7550115,76.771,23.229,357120,0.695334317361279,19025087,62877220,9.21843996409039,9.86706955479808,38.1199069398503,-5.69715162828702,24.7358048517212,24.3911878088375,56701916794.9699,41947024,13.7067223060837,79.8365853658537,1.36,3397791053070.3,81902307,41485.9016495139,-5.45790087234482,3474401222561.82,16588424732.003,6908443,49750199
"792324",2010,7487.48100076523,97330734.2807591,82.6,77.5,594250,52.7709999084473,66.4589996337891,6.96600008010864,100,234.606908225034,-0.153198446937304,3450395,7587097,76.966,23.034,357126.9921875,0.803696771174544,18836498,62940432,9.27779631737215,11.6820803941288,42.565473405085,4.1789690378929,26.8488925284667,25.7748487282492,86037502102.1645,42007911,13.5683827540702,79.9878048780488,1.39,3396354075663.73,81776930,41531.9341978689,4.33869191573952,3464482469694.36,18180770159.5111,6587482,44038739
"808169",2011,7716.76190298526,107042775.791182,83.1,77.9,571672,53.6160011291504,66.7300033569336,5.82399988174438,100,230.304633348634,-1.8537146287573,3462944,7624368,77.16,22.84,357140,0.910022423855418,18334806,61940177,9.49781328511773,13.7777661755497,45.0571362806101,3.92413341771297,27.0689719182049,27.8209076559114,97535403952.55,41659627,13.5092964210582,80.4365853658537,1.39,3744408602683.94,80274983,46644.776027968,5.8685566312854,3840293076529,18409284018.3484,6490900,41920400
"824014",2012,7236.98063027006,105978474.526384,83.1,78.1,589735,53.6240005493164,66.5910034179688,5.37900018692017,100,230.750625466231,0.187727800567293,3475555,7663849,77.17,22.83,357170,0.847918814268698,18361215,62064608,9.52908992923827,12.5968731026867,46.3071201430804,0.41955108005358,27.2839861436413,26.8003445580955,65443087632.2705,41735942,13.4268014618471,80.5390243902439,1.41,3527344944139.83,80425823,43858.3630551076,0.231212502717355,3611978814803.06,19545831046.5041,6517900,45396500
"839859",2013,7335.69940204315,109062321.51578,83,78.1,187545,54.1759986877441,66.6019973754883,5.23099994659424,100,231.155712565925,0.272900214681538,3488177,7705441,77.18,22.82,357340,0.942643214114216,18403327,62242278,9.55469427007213,12.1070990559753,45.4186778593914,0.428243261672193,26.7826133352304,26.5819461109799,67199694458.9374,42101062,13.3310716177189,80.490243902439,1.42,3732743446218.92,80645605,46285.7640688407,0.154547997552854,3819178029463.77,21035573949.6437,6526000,47757100
"855704",2014,7184.14620802563,112353098.59355,83.6,78.7,216956,54.318000793457,66.4550018310547,4.98099994659424,100,232.108053883634,0.416877359168292,3500863,7747444,77.19,22.81,357380,0.904547674923055,18472108,62510392,9.56681258296546,13.3732739821185,45.6192633128717,2.22568874914928,27.0109959930724,27.5836540334996,19488312315.4146,42318973,13.2520993334125,81.090243902439,1.47,3883920155292.26,80982500,47959.9932737599,1.80042003787038,3961735742666.92,20981470339.8058,6460700,52010400
"871549",2015,6986.405444999,117222850,83.1,78.3,316098,54.3429985046387,66.0950012207031,4.62400007247925,100,234.153668555637,0.865702643950251,3513595,7793307,77.2,22.8,357408.984375,0.683779582649906,18624547,63062064,9.5404949533284,14.15937861974,46.8485876563908,1.73974982269824,27.0645562643767,28.5503323658771,62422464518.9402,42592924,13.2169387291157,80.6414634146341,1.5,3360549973888.58,81686611,41139.5445685533,0.862787538298775,3437023455474.66,22044590550.5261,6517500,48866800
"887394",2016,6942.706331998,116713587,83.5,78.6,669468,54.7109985351563,66.1760025024414,4.12200021743774,100,235.712929356538,0.807218538573871,3526391,7843290,77.224,22.776,357580,0.698318496538081,18755733,63592936,9.52448909647829,14.3981320714655,46.023196451932,2.22999996699747,27.4966657094541,28.738564344956,64707795193.3638,43055076,13.3152990382434,80.990243902439,1.6,3466790065011.83,82348669,42098.9204453545,1.4081021738692,3552144049181.61,22983514263.4794,6316300,45364400
"903239",2017,7901.65234423,114160685,83.4,78.7,970357,54.9889984130859,66.2740020751953,3.74600005149841,100,236.595494618731,0.373724559895838,3539234,7893815,77.261,22.739,357580,0.831435536010897,18795376,63861626,9.55008627097315,14.4113842722773,47.3974341985646,2.46503002917808,27.4421492824323,28.870372627957,118225590102.648,43289005,13.4506883625113,80.9926829268293,1.57,3665804120835.3,82657002,44349.5896552757,2.08280772084919,3759608327004.71,24244903913.5167,6266500,45556800
