"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EG.ELC.ACCS.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.DT.DOD.DSTC.IR.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"649672",2001,1467.445,34285574,74.36,66.75,2877,51.2179985046387,78.0120010375977,9.60999965667725,96.016528,21.2004170784409,1.36695707635304,17260029,68470227,81.553,18.447,8515770,4.80104301642181,32687356,144508698,38.6409434377133,3.55545505455699,12.37171066993,1.38989640325894,22.6395279130452,78.8293001495167,13.5949169758639,23225846372.251,80429456,29.4417955831003,70.462,2.232,559372276081.966,177196054,3156.79871788773,0.0133697384164577,541210449579.117,5150416050.4462,18148670,57125393
"665517",2002,1539.738,35889538,74.715,67.09,3176,52.5769996643066,78.0319976806641,9.37100028991699,96.652996,21.4805590717552,1.31274418552691,17511506,69497900,81.88,18.12,8515770,5.47527489339298,32532199,147005321,38.7094018008046,4.80131503201992,14.2305902713775,3.05346185795254,22.4953278200255,61.8389650847116,15.4075368110728,16586600193.114,82986830,28.9200881241982,70.813,2.163,507962487700.024,179537520,2829.28319217077,1.70947438880017,490921176362.21,5306325715.03024,17883426,50875594
"681362",2003,1478.37,32372040,75.069,67.44,3190,52.8979988098145,77.7470016479492,9.99100017547607,96.980098,21.7523571033747,1.25738273806831,17766646,70542870,82.203,17.797,8515770,6.1671843856504,32356592,149452654,38.8004854274573,6.06207159355383,15.1807837086861,1.14082899810009,23.0838178175003,49.8896501481073,16.4178625497012,10123013670.9901,84687253,28.3909097780429,71.17,2.097,558319920831.979,181809246,3070.91049061377,-0.122936492113425,540601974260.643,5388657013.60297,19925261,67454329
"697207",2004,1499.485,35263795,75.423,67.799,3333,53.9459991455078,78.0709991455078,9.10499954223633,96.765107,22.0152427453955,1.2012941278805,18025864,71606933,82.521,17.479,8515770,5.66531157603221,32162493,151843988,38.9154407012436,7.89019238184896,16.5457615119353,5.75996463871775,24.306623290035,47.7322906851173,18.8597598022916,18181190855.2842,87249646,27.8703085463604,71.531,2.033,669316654017.094,184006481,3637.46238925733,4.49707707823583,649542563658.12,5986916959.99832,20420482,63953364
"713052",2005,1530.675,37661733,75.775,68.166,3446,55.076000213623,78.1800003051758,9.56799983978271,97.093513,22.2689621135803,1.14588099838722,18288134,72686000,82.834,17.166,8515770,4.65116882283132,31950579,154176524,39.0518085912507,7.61199737184163,15.2438292665623,3.20213137990235,24.172578278061,44.5972469901806,18.1140694008935,15459981604.1196,89725161,27.3617217370003,71.896,1.976,891630177251.068,186127103,4790.43708777366,2.02630740411568,865855861197.831,6537095881.23686,19313005,55670925
"728897",2006,1412.26,40945038,76.122,68.536,3478,54.7859992980957,77.6709976196289,8.63899993896484,97.594314,22.5130658256502,1.0901968535216,18554591,73784829,83.143,16.857,8515770,4.37004377798394,31719371,156447985,39.2123429740916,8.26022454968575,14.3743163008972,3.96198872184989,23.5440216715158,23.6746680421608,18.4098011545917,19378093068.2773,90821471,26.8292870098042,72.26,1.925,1107640289615.23,188167356,5886.46358837728,2.8347540947357,1079922933664.32,6944147225.94097,18423582,59148978
"744742",2007,1477.828,45286990,76.457,68.905,20764,54.5379981994629,77.2979965209961,8.32699966430664,98.125382,22.7479371008382,1.0378620369676,18824929,74902779,83.448,16.552,8515770,4.41691543601929,31470391,158660052,39.395468615197,8.88112097396933,13.327675103099,6.06987060771837,23.1253804129963,21.7630500226334,19.3463662343578,44579492463.6336,91963822,26.3243456493708,72.618,1.882,1397084349956.35,190130443,7348.03079355548,4.97470467428765,1367409102922.29,7672987832.74409,19543770,69441634
"760587",2008,1807.062,58763225,76.779,69.266,3831,54.4379997253418,77.3850021362305,7.34299993515015,98.526625,22.9752507136755,0.994311623883366,19099587,76042843,83.749,16.251,8515770,4.56785118317928,31206854,160823508,39.5993853305343,8.75327744080603,13.5340005119683,5.09419544732717,23.0852937543312,18.9098258045838,19.2268514726767,50716402711.4787,93486539,25.8318874595466,72.966,1.847,1695824565983.2,192030362,8831.02311697566,4.05440956846654,1654242312302.32,8598565155.61019,20814408,79745466
"776432",2009,1782.3,67945578,77.085,69.616,4218,54.9099998474121,77.3349990844727,8.52200031280518,98.856938,23.1973271565205,0.96194826263909,19377480,77199178,84.044,15.956,8515770,4.47677399196415,30936531,162949977,39.8166838922077,8.15063048650707,10.8513711314233,-0.125811999414864,21.8785926286899,16.679034743068,16.3803620777691,31480932200,95333404,25.3330247198015,73.3,1.818,1667019783585.08,193886508,8597.91535151623,-1.08194389571234,1630132837501.25,8452460678.47834,20077516,70914791
"792277",2010,1302.474647875,74627064,77.378,69.95,4346,53.5169982910156,76.4970016479492,7.73600006103516,98.9767379760742,23.4159316546504,0.937956737505973,19659808,78376893,84.335,15.665,8515770,4.11575648758173,30658541,165055094,40.0467208122725,8.7141734323302,10.8655847746965,7.52822583005563,23.2679516203289,22.6951127622934,17.8024219663206,82389933624.1,95231965,24.8233604163553,73.619,1.796,2208871646202.82,195713635,11286.2430162457,6.52437280430098,2140639114483.86,10069463307.8776,18601205,75160152
"808122",2011,1294.49545,87860363,77.658,70.265,4466,52.1180000305176,75.6340026855469,6.91699981689453,99.328691,23.6313981340346,0.915962656318059,19901875,79503661,84.631,15.369,8515770,4.34203511988559,30356009,167158525,40.2520560841361,9.27908731993192,11.5825153248769,3.97442540583816,23.102056242361,11.9713376511314,18.6012462119196,102427229784.41,95052710,24.3148327067938,73.921,1.781,2616200980392.16,197514534,13245.6124995448,3.02640687298958,2548973132352.94,11084087079.4272,19216441,77586276
"823967",2012,1363.447091,94752568,77.929,70.56,4681,53.0190010070801,76.1309967041016,7.18599987030029,99.519494,23.8434981945744,0.893531057922595,20143093,80643439,84.923,15.077,8515770,4.1683282240444,30046546,169240750,40.4659206174387,8.56368139433918,11.8775598368351,1.92115031836302,22.1336473676777,8.73162884375571,17.6780992968437,92568379494.5,97597798,23.8194718068812,74.209,1.771,2465188674415.03,199287296,12370.0242007149,1.01450977525141,2403681256873.69,12446262571.8669,19611226,89908244
"839812",2013,1637.382,95591641,78.193,70.838,5185,52.9259986877441,76.0019989013672,6.97599983215332,99.575151,24.0527082580574,0.873603191241425,20386559,81798312,85.209,14.791,8515770,4.50690493825609,29735220,171300683,40.6884097712636,9.18651046164865,11.7422306432624,3.00484630505706,21.2248287058771,9.33806515761243,18.1517163674694,75211028087.44,98903783,23.3356033423521,74.483,1.764,2472806919901.67,201035903,12300.3248822758,2.10891183467072,2438446843189.09,13978462415.1146,20906133,100901726
"855657",2014,1596.774,100403628,78.45,71.099,7478,52.8139991760254,75.5630035400391,6.66099977493286,99.650247,24.2594327206771,0.855792022891126,20633309,82973348,85.492,14.508,8515770,4.32561053879483,29416963,173346772,40.9211972742562,7.21430607555234,11.0119428207843,0.503955740242247,20.4724627454143,16.0015682575594,16.1344086527772,87713987796.95,99932834,22.8674911148684,74.745,1.758,2455993625159.37,202763735,12112.5882059697,-0.352479217688355,2410227796260.09,15539713543.6893,21851934,101402184
"871502",2015,1493.939,102039359,78.698,71.345,8703,53.3380012512207,75.3310012817383,8.42700004577637,99.710902,24.4637884744692,0.838848282593092,20883046,84167308,85.77,14.23,8515770,4.31913275104669,29096333,175375436,41.1632903709069,6.62094327488329,12.9001914177405,-3.54576339269425,19.3600439775462,14.6834732410217,14.5293479955433,64738149686.45,101600929,22.4208223092157,74.994,1.753,1802214373741.32,204471769,8814.00098681261,-4.35148398862317,1768302238329.98,15293464575.7679,21204706,106028113
"887347",2016,1513.832873341,94142377,78.934,71.578,9674,53.2849998474121,74.8550033569336,11.6000003814697,99.7,24.6661407920901,0.823748231993439,21136155,85382211,86.042,13.958,8515770,4.89135358685971,28776240,177386818,41.414893545089,5.75270050100774,12.4666790443888,-3.27591690782192,18.3465915326172,15.6723979334093,13.4217360792454,74294617926.46,102508951,22.0495231024737,75.23,1.747,1795700168991.49,206163058,8710.09668954121,-4.0694071643008,1757603662733.08,14595666145.4607,20122672,84128732
"903192",2017,1736.549227,96395709,79.156,71.804,10260,54.1380004882813,74.5139999389648,12.8219995498657,100,24.8660384966033,0.807147162261819,21391624,86613355,86.309,13.691,8515770,4.60210115900505,28454530,179379301,41.6743292385348,5.59661187990993,12.5230753666957,1.32286905404399,18.181269964284,14.0146058504722,13.5816160741334,68885072605.58,104260712,21.6838368026363,75.456,1.739,2062831045935.95,207833831,9925.38623770041,0.508336053889494,2024253642507.99,15825515093.7439,22613700,117784130
