"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EG.ELC.ACCS.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491401",1991,4023.3999023438,42861200,78.9,73.4,43368,51.814998626709,73.4120025634766,8.55200004577637,100,237.361621130079,0.309247932319381,6840784,14666445,78.112,21.888,243610,1.37320668059744,12569161,44855736,25.5402199502421,2.49114437953211,22.3459285981055,-1.10312162538612,27.1754999490714,15.0563565155753,23244186242.4529,28917705,19.0199680454719,76.0829268292683,1.82,1142797178130.51,57424897,19900.7266505069,-1.4084857673798,1167664617460.32,5310975705.64607,3499695,22629199
"507246",1992,4639.2001953125,47819400,79.2,73.8,64717,51.8330001831055,72.4720001220703,9.77700042724609,100,238.0043896995,0.270431182081877,6887549,14717111,78.172,21.828,243610,1.36190365532529,12568650,45011752,25.5592362832062,1.99806214673327,22.670278858027,0.401082054991278,26.769470015026,14.0341858634853,23011210833.6831,28750719,19.1302160669499,76.4341463414634,1.79,1179659529659.53,57580402,20487.1707852878,0.12993302298274,1219354903123.9,5490833527.14863,3486261,22057171
"523091",1993,5405,50187900,79.1,73.8,80230,51.8650016784668,71.2870025634766,10.3479995727539,100,238.575678915389,0.239745439286479,6934504,14768030,78.232,21.768,243610,1.37400774867394,12564188,45154426,25.5862519498476,2.79568035483967,24.5575996631503,2.48983094838555,26.1770668075859,13.8808392650908,19686257926.6485,28512326,19.2697480537404,76.3853658536585,1.76,1061388722255.55,57718614,18389.0195675099,2.24441056259738,1096282871475.71,5679563753.2438,3030448,19481622
"538936",1994,6405.2001953125,55475500,79.6,74.3,85159,51.8549995422363,70.8990020751953,9.64999961853027,100,239.183834166908,0.254586486858912,6981844,14819415,78.293,21.707,243610,1.4204102410641,12560917,45304828,25.6099960347871,5.21782002833073,25.7897769177505,3.84600917388178,26.7040443587996,16.0306657606945,19561337402.3078,28452559,19.3908794599928,76.8853658536585,1.74,1140489745944.29,57865745,19709.2380983653,3.58196751718552,1197466867156.41,5986111017.91141,3041955,19945396
"554781",1995,6830.6000976563,59688800,79.5,74.3,90908,51.8190002441406,70.5749969482422,8.69400024414063,100,239.817426528335,0.264547416858702,7029508,14871199,78.353,21.647,243610,1.3586822276225,12559379,45459651,25.6315884633025,5.62730862441209,25.5551294929672,2.53167002781396,24.8005674212679,14.9817984950182,29129258040.8363,28421142,19.4628820567981,76.8365853658537,1.71,1341584345905,58019030,23123.1777902009,2.26078361278404,1302016343537.95,6195717707.8973,3180707,21859745
"570626",1996,7618.1000976563,64208500,79.7,74.6,98577,52.2140007019043,70.2389984130859,8.19200038909912,100,240.428843053776,0.254626384215086,7077563,14923455,78.413,21.587,243610,1.18215035629846,12556499,45610451,25.6562446543957,5.91063105002996,26.1507090146543,2.49153316331814,24.9267838345761,15.2844712404413,32412668835.2522,28519943,19.4506696604374,77.0878048780488,1.73,1415358814352.57,58166950,24332.6977665594,2.23089464633352,1371306829329.17,6659276066.20429,3357622,24510178
"586471",1997,6450.6000976563,62763200,79.9,74.65,107933,52.6450004577637,70.1269989013672,7.07200002670288,100,241.048873641136,0.257553323280351,7125813,14975969,78.472,21.528,243610,1.04359514221058,12554474,45762480,25.6803004491627,7.59806215261116,25.5504392067501,3.85482995208896,24.0521482539366,16.0223687325483,51311836383.8208,28695072,19.3936033375436,77.2109756097561,1.72,1559078258022.27,58316954,26734.5626114537,3.5876925444642,1533488996725.61,6672492353.13742,3513146,23523248
"602316",1998,4663.5,61940200,79.7,74.8,121715,52.7120018005371,69.8259963989258,6.20300006866455,100,241.752329186128,0.291406085432392,7174459,15028959,78.532,21.468,243610,0.993100984168595,12556019,45931122,25.6961765322056,7.83305405462105,24.1694383835789,3.64485340470566,23.3864994469948,17.195856181622,109817612847.493,28763330,19.2968330493533,77.190243902439,1.71,1650172242464.39,58487141,28214.274355869,3.34326563062749,1657460503643.59,7010141011.26049,3417892,22767929
"618161",1999,4925.2001953125,65738296,79.9,75,148921,53.2319984436035,69.9059982299805,6.04300022125244,100,242.559690819659,0.333405882184416,7223438,15082358,78.591,21.409,243610,0.935867316863017,12563329,46119137,25.7016431449898,5.64417110599651,23.9240458855784,3.42822335047983,23.0547240047274,15.7318103258735,129891584490.274,29052220,19.1740700901668,77.390243902439,1.68,1682399288141.08,58682466,28669.539690801,3.08396178304788,1676879145769.29,7311363062.59877,3141102,22123808
"634006",2000,5160.872,70436030,80.2,75.4,186247,53.5699996948242,69.9229965209961,5.56199979782104,100,243.427908899268,0.357300887421605,7272819,15136239,78.651,21.349,243610,0.856294568252117,12572963,46319551,25.7014652150866,5.44348730867074,25.1989000146945,3.43747162195275,23.1485208337326,16.1892974832002,164130335444.123,29297919,19.0323883541571,77.7414634146342,1.64,1657816613708.58,58892514,28149.8700107891,3.06854809392598,1664055076410.95,7856341522.57391,3348084,23988441
